country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Slovakia,1992,male,35-54 years,299,681903,Slovakia1992,,"15,431,288,006",3143,Boomers
Iceland,1988,female,5-14 years,0,20600,Iceland1988,,"6,016,168,896",26249,Generation X
Saint Lucia,1998,male,5-14 years,0,17192,Saint Lucia1998,,"737,554,872",5407,Millenials
Costa Rica,1993,male,35-54 years,47,318500,Costa Rica1993,,"9,537,297,507",3342,Boomers
Romania,2002,male,75+ years,142,404282,Romania2002,,"46,174,557,556",2231,Silent
Trinidad and Tobago,2010,female,35-54 years,8,183641,Trinidad and Tobago2010,0.772,"22,157,948,396",18000,Generation X
Ecuador,1988,female,15-24 years,73,1027900,Ecuador1988,,"13,051,886,552",1519,Generation X
Bahrain,2007,male,5-14 years,0,74222,Bahrain2007,,"21,730,000,000",22524,Generation Z
Kuwait,2009,male,5-14 years,0,231825,Kuwait2009,,"105,899,930,507",33453,Generation Z
Puerto Rico,1996,male,35-54 years,113,430008,Puerto Rico1996,,"45,340,835,000",13328,Boomers
South Africa,2007,female,5-14 years,2,5074249,South Africa2007,,"299,033,511,000",6708,Generation Z
Austria,2007,male,25-34 years,99,542760,Austria2007,,"388,691,445,387",49218,Generation X
Japan,1989,female,55-74 years,2786,12244000,Japan1989,,"3,054,914,166,263",26389,G.I. Generation
Japan,1985,female,55-74 years,2543,11024900,Japan1985,0.791,"1,398,892,744,821",12401,G.I. Generation
Panama,1989,female,15-24 years,4,246800,Panama1989,,"5,918,469,800",2802,Generation X
Italy,2005,female,35-54 years,265,8562377,Italy2005,0.856,"1,852,661,982,341",33536,Boomers
Georgia,2005,female,5-14 years,0,287150,Georgia2005,0.711,"6,410,852,596",1552,Millenials
Aruba,1999,male,25-34 years,4,7031,Aruba1999,,"1,722,798,883",21027,Generation X
Israel,2002,female,5-14 years,2,580138,Israel2002,,"121,069,378,150",20536,Millenials
Bulgaria,2010,female,25-34 years,11,537199,Bulgaria2010,0.773,"50,610,058,210",7066,Generation X
Germany,2004,male,15-24 years,518,4922745,Germany2004,,"2,819,245,095,605",35772,Millenials
Germany,1999,male,35-54 years,2863,11918600,Germany1999,,"2,199,957,383,337",28154,Boomers
United Kingdom,1993,male,35-54 years,1274,7453705,United Kingdom1993,,"1,061,388,722,256",19553,Boomers
Germany,2002,female,15-24 years,141,4626561,Germany2002,,"2,079,136,081,310",26441,Millenials
Ecuador,2003,male,55-74 years,49,540808,Ecuador2003,,"32,432,858,000",2755,Silent
Finland,1987,male,5-14 years,4,324400,Finland1987,,"91,642,093,873",19861,Generation X
Lithuania,2001,male,75+ years,57,51713,Lithuania2001,,"12,252,498,921",3719,Silent
Italy,2012,female,55-74 years,317,7188550,Italy2012,0.872,"2,072,823,157,060",36497,Boomers
Grenada,1985,male,5-14 years,0,11950,Grenada1985,,"167,728,444",1965,Generation X
South Africa,2001,female,35-54 years,21,4940098,South Africa2001,,"121,600,818,310",2953,Boomers
Hungary,1991,male,25-34 years,364,663374,Hungary1991,,"34,748,508,332",3561,Boomers
Belgium,2013,female,5-14 years,2,610848,Belgium2013,0.888,"520,925,468,953",49489,Generation Z
Republic of Korea,2015,male,55-74 years,3123,5071921,Republic of Korea2015,,"1,382,764,027,114",28410,Boomers
Cuba,2008,female,5-14 years,2,691240,Cuba2008,,"60,806,300,000",5686,Generation Z
Bulgaria,2001,female,55-74 years,118,963174,Bulgaria2001,,"14,075,616,789",1854,Silent
Israel,1986,male,75+ years,28,70300,Israel1986,,"34,083,532,195",8938,G.I. Generation
France,2011,male,55-74 years,2048,6298402,France2011,0.884,"2,861,408,170,265",48217,Boomers
United Kingdom,2009,male,25-34 years,564,4047103,United Kingdom2009,,"2,382,825,985,356",41074,Generation X
Guyana,2006,female,25-34 years,11,55372,Guyana2006,,"1,458,449,453",2182,Generation X
Guyana,1988,female,75+ years,0,5258,Guyana1988,,"413,799,990",632,G.I. Generation
Poland,1991,male,15-24 years,441,2788000,Poland1991,,"85,500,935,935",2416,Generation X
Uzbekistan,2010,male,5-14 years,48,2751752,Uzbekistan2010,0.655,"39,332,770,929",1533,Generation Z
France,2001,female,75+ years,468,2849945,France2001,,"1,376,465,324,385",24796,Silent
Barbados,2008,female,55-74 years,0,24852,Barbados2008,,"4,607,300,000",17760,Silent
Croatia,2000,female,25-34 years,12,329100,Croatia2000,0.749,"21,774,273,832",5288,Generation X
United Kingdom,1988,female,75+ years,205,2551912,United Kingdom1988,,"910,122,732,124",17072,G.I. Generation
United Arab Emirates,2010,female,35-54 years,1,533458,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation X
Germany,1991,female,75+ years,1153,3906500,Germany1991,,"1,861,873,895,109",24662,G.I. Generation
United Kingdom,2009,female,25-34 years,133,3946153,United Kingdom2009,,"2,382,825,985,356",41074,Generation X
Serbia,2003,female,75+ years,85,262606,Serbia2003,,"21,188,704,081",2979,Silent
Canada,1991,female,5-14 years,9,1844900,Canada1991,,"610,328,183,643",24038,Millenials
Slovakia,2008,male,55-74 years,132,441896,Slovakia2008,,"100,324,627,215",19530,Silent
Bahamas,2012,female,35-54 years,1,54245,Bahamas2012,0.783,"10,720,500,000",31204,Generation X
Bahrain,1985,male,25-34 years,7,67600,Bahrain1985,0.727,"3,651,861,702",9980,Boomers
Mauritius,2003,male,15-24 years,6,99166,Mauritius2003,,"5,609,831,328",5136,Millenials
Israel,2011,male,55-74 years,80,532080,Israel2011,0.888,"261,628,548,084",37528,Boomers
Denmark,2015,male,15-24 years,18,374051,Denmark2015,,"301,298,464,861",55972,Millenials
Chile,1999,female,15-24 years,34,1237322,Chile1999,,"75,173,794,497",5470,Generation X
Colombia,2014,female,25-34 years,82,4007103,Colombia2014,0.72,"378,195,716,714",8591,Millenials
New Zealand,2012,female,25-34 years,22,291540,New Zealand2012,0.909,"176,192,886,551",42756,Millenials
Mexico,1997,male,15-24 years,931,10469891,Mexico1997,,"500,413,483,109",5864,Generation X
United Kingdom,2007,male,15-24 years,309,4193170,United Kingdom2007,,"3,074,359,743,898",53576,Millenials
Sweden,2003,male,5-14 years,1,583622,Sweden2003,,"331,108,912,605",38997,Millenials
Puerto Rico,2008,male,5-14 years,1,284529,Puerto Rico2008,,"93,639,316,000",26840,Generation Z
Germany,2011,female,5-14 years,9,3641215,Germany2011,0.911,"3,757,698,281,118",47947,Generation Z
Germany,1992,male,15-24 years,674,5203300,Germany1992,,"2,123,130,870,382",27888,Generation X
Azerbaijan,1993,female,55-74 years,6,443000,Azerbaijan1993,,"3,973,027,397",617,Silent
Romania,2000,male,15-24 years,188,1846000,Romania2000,0.706,"37,438,527,800",1758,Generation X
Romania,1999,male,25-34 years,322,1770400,Romania1999,,"36,183,003,978",1698,Generation X
Turkmenistan,1991,female,35-54 years,15,288300,Turkmenistan1991,,"3,208,098,919",1014,Boomers
Aruba,2000,male,55-74 years,0,5612,Aruba2000,,"1,873,452,514",22333,Silent
Guatemala,2007,female,15-24 years,34,1420815,Guatemala2007,,"34,113,107,086",2914,Millenials
Bulgaria,2014,male,25-34 years,47,508827,Bulgaria2014,0.782,"56,731,990,232",8241,Millenials
Ireland,1987,female,5-14 years,1,340100,Ireland1987,,"33,961,142,322",10515,Generation X
Czech Republic,2016,male,55-74 years,319,1205832,Czech Republic2016,,"195,305,084,919",19505,Boomers
Puerto Rico,1990,female,55-74 years,10,231000,Puerto Rico1990,,"30,603,919,000",9552,G.I. Generation
Canada,2005,female,5-14 years,25,1947297,Canada2005,0.892,"1,169,357,979,865",38218,Millenials
Uruguay,1987,female,55-74 years,25,274100,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
Sweden,1998,male,15-24 years,57,534000,Sweden1998,,"266,800,462,899",31966,Generation X
Hungary,1998,female,55-74 years,241,1190456,Hungary1998,,"48,770,466,839",5010,Silent
Saint Vincent and Grenadines,2007,female,5-14 years,0,10307,Saint Vincent and Grenadines2007,,"651,833,333",6539,Generation Z
Republic of Korea,1989,female,5-14 years,15,3861200,Republic of Korea1989,,"243,526,047,717",6217,Generation X
Hungary,2002,female,25-34 years,41,761375,Hungary2002,,"67,716,887,203",6995,Generation X
Australia,2014,female,35-54 years,277,3189475,Australia2014,0.935,"1,464,955,475,994",66809,Generation X
Finland,1989,female,5-14 years,0,318100,Finland1989,,"119,064,708,328",25582,Generation X
Chile,1986,male,25-34 years,124,1024700,Chile1986,,"18,891,048,819",1728,Boomers
Colombia,2012,male,75+ years,69,453582,Colombia2012,0.715,"369,659,700,376",8586,Silent
Iceland,1992,female,55-74 years,2,19000,Iceland1992,,"6,976,080,331",29311,Silent
Republic of Korea,2009,female,5-14 years,42,2908040,Republic of Korea2009,,"901,934,953,365",19036,Generation Z
Saint Lucia,1988,female,35-54 years,0,10200,Saint Lucia1988,,"366,541,091",3244,Silent
Mauritius,2004,female,75+ years,0,19076,Mauritius2004,,"6,385,695,187",5789,Silent
Malta,1997,male,5-14 years,0,28800,Malta1997,,"3,705,372,039",10575,Millenials
Mexico,2013,female,25-34 years,212,9885421,Mexico2013,0.755,"1,274,443,078,609",11478,Millenials
Canada,2012,female,5-14 years,17,1816079,Canada2012,0.91,"1,824,288,757,448",55347,Generation Z
Denmark,2010,female,35-54 years,64,776699,Denmark2010,0.908,"321,995,350,347",61711,Generation X
Luxembourg,1994,male,5-14 years,0,23900,Luxembourg1994,,"18,325,791,415",48610,Millenials
Montenegro,2005,male,5-14 years,0,44778,Montenegro2005,0.75,"2,257,174,481",3870,Millenials
Iceland,2003,male,55-74 years,6,21464,Iceland2003,,"11,316,441,660",42174,Silent
Norway,2004,female,25-34 years,20,315751,Norway2004,,"264,357,494,659",61450,Generation X
Kazakhstan,2008,female,75+ years,47,280166,Kazakhstan2008,,"133,441,612,247",9387,Silent
Guatemala,1993,male,55-74 years,14,330703,Guatemala1993,,"11,399,942,453",1381,Silent
Croatia,2001,male,25-34 years,72,296586,Croatia2001,,"23,289,671,102",5571,Generation X
Sweden,2001,male,75+ years,129,305543,Sweden2001,,"239,917,320,967",28429,Silent
Armenia,1993,male,15-24 years,7,304800,Armenia1993,,"1,201,313,201",357,Generation X
Norway,1988,male,5-14 years,5,276000,Norway1988,,"101,900,260,856",25820,Generation X
United Kingdom,1992,female,15-24 years,91,3882211,United Kingdom1992,,"1,179,659,529,660",21815,Generation X
Ireland,1995,female,25-34 years,20,259200,Ireland1995,0.803,"69,222,626,263",20689,Generation X
Trinidad and Tobago,1991,female,15-24 years,11,113000,Trinidad and Tobago1991,,"5,307,905,882",4817,Generation X
Guyana,2005,female,25-34 years,10,56021,Guyana2005,0.618,"824,880,550",1235,Generation X
Cuba,1999,female,25-34 years,92,1083689,Cuba1999,,"28,364,615,242",2741,Generation X
Thailand,1996,male,5-14 years,0,5508805,Thailand1996,,"183,035,154,107",3324,Millenials
Thailand,2004,female,35-54 years,413,10068026,Thailand2004,,"172,895,476,153",2849,Boomers
Singapore,2008,female,35-54 years,45,616400,Singapore2008,,"192,225,881,688",55735,Boomers
New Zealand,1999,male,55-74 years,50,282950,New Zealand1999,,"58,762,260,626",16556,Silent
Saint Lucia,2005,male,75+ years,0,2329,Saint Lucia2005,0.691,"951,207,366",6292,Silent
Georgia,2004,male,75+ years,17,68300,Georgia2004,,"5,125,363,001",1253,Silent
Saint Lucia,1986,male,35-54 years,3,8300,Saint Lucia1986,,"289,689,704",2634,Silent
Puerto Rico,1996,female,15-24 years,8,313521,Puerto Rico1996,,"45,340,835,000",13328,Generation X
Italy,2003,female,55-74 years,340,6855153,Italy2003,,"1,569,649,661,400",28572,Silent
Republic of Korea,1990,male,15-24 years,480,4502200,Republic of Korea1990,,"279,349,355,714",7056,Generation X
Kazakhstan,1990,male,55-74 years,356,706400,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
Mexico,1997,female,55-74 years,35,3962305,Mexico1997,,"500,413,483,109",5864,Silent
Japan,2002,male,5-14 years,25,6215000,Japan2002,,"4,115,116,279,070",34239,Millenials
Colombia,2009,male,5-14 years,54,4196033,Colombia2009,,"233,821,670,544",5643,Generation Z
Barbados,1990,female,55-74 years,1,20000,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Latvia,1997,female,15-24 years,9,163400,Latvia1997,,"6,525,676,264",2771,Generation X
Republic of Korea,1992,female,35-54 years,312,5119600,Republic of Korea1992,,"350,051,111,253",8671,Boomers
Cyprus,2005,male,35-54 years,4,99191,Cyprus2005,0.83,"18,703,146,375",26671,Boomers
Bahrain,2002,female,25-34 years,1,59350,Bahrain2002,,"9,632,155,053",14572,Generation X
Lithuania,2001,female,75+ years,40,128791,Lithuania2001,,"12,252,498,921",3719,Silent
Jamaica,1985,female,25-34 years,0,164000,Jamaica1985,0.65,"2,100,223,150",1032,Boomers
New Zealand,1992,male,25-34 years,98,278400,New Zealand1992,,"41,636,005,955",12868,Boomers
Guyana,2011,female,35-54 years,14,87351,Guyana2011,0.63,"2,576,024,116",3815,Generation X
Norway,2000,male,55-74 years,77,365883,Norway2000,0.917,"171,315,639,983",41099,Silent
Bahrain,2012,female,35-54 years,0,135976,Bahrain2012,0.819,"30,749,308,511",25587,Generation X
Brazil,2007,male,75+ years,305,1654216,Brazil2007,,"1,397,084,345,950",7970,Silent
Canada,2000,male,5-14 years,29,2101448,Canada2000,0.867,"742,293,448,253",25589,Millenials
Uzbekistan,2000,female,5-14 years,13,3166259,Uzbekistan2000,0.594,"13,760,374,488",632,Millenials
Denmark,1997,female,55-74 years,88,501000,Denmark1997,,"173,537,588,008",35148,Silent
Grenada,2012,male,75+ years,0,1297,Grenada2012,0.74,"799,882,148",8382,Silent
Luxembourg,1992,male,55-74 years,7,33400,Luxembourg1992,,"16,065,740,778",43740,Silent
Ireland,1998,male,35-54 years,140,479431,Ireland1998,,"90,082,034,316",26115,Boomers
Greece,1986,male,75+ years,47,240900,Greece1986,,"56,379,593,720",6040,G.I. Generation
El Salvador,1996,female,15-24 years,112,559279,El Salvador1996,,"9,586,327,800",1959,Generation X
France,2007,male,35-54 years,3072,8475997,France2007,,"2,657,213,249,384",45682,Boomers
Paraguay,2001,female,55-74 years,3,207018,Paraguay2001,,"7,662,595,076",1630,Silent
Kuwait,2000,female,5-14 years,0,178644,Kuwait2000,0.804,"37,711,864,407",19112,Millenials
Hungary,2002,female,5-14 years,3,570215,Hungary2002,,"67,716,887,203",6995,Millenials
United States,1990,female,25-34 years,1211,21596400,United States1990,0.859,"5,979,589,000,000",26004,Boomers
Bulgaria,1991,female,15-24 years,23,630000,Bulgaria1991,,"10,943,548,387",1298,Generation X
Kazakhstan,2001,male,15-24 years,660,1365580,Kazakhstan2001,,"22,152,694,162",1608,Millenials
Paraguay,2010,female,55-74 years,6,286507,Paraguay2010,0.668,"20,030,528,043",3619,Silent
Belgium,1993,female,15-24 years,33,648400,Belgium1993,,"225,924,679,921",23875,Generation X
Spain,1994,male,35-54 years,628,4783200,Spain1994,,"529,121,577,320",14223,Boomers
Mexico,2000,male,75+ years,105,801173,Mexico2000,0.699,"707,906,744,575",7892,G.I. Generation
Thailand,1990,male,75+ years,55,355816,Thailand1990,0.572,"85,343,063,966",1666,G.I. Generation
United Kingdom,2006,male,35-54 years,1457,8462315,United Kingdom2006,,"2,692,612,695,492",47163,Boomers
Grenada,1990,female,55-74 years,0,5000,Grenada1990,,"278,098,778",3391,G.I. Generation
Uzbekistan,1994,female,25-34 years,77,1759900,Uzbekistan1994,,"12,899,156,991",674,Boomers
Slovakia,2005,male,55-74 years,130,399356,Slovakia2005,0.793,"62,697,540,107",12229,Silent
Uzbekistan,1999,female,25-34 years,98,1842587,Uzbekistan1999,,"17,078,465,982",801,Generation X
Portugal,1998,female,5-14 years,0,567967,Portugal1998,,"123,981,736,420",12892,Millenials
Costa Rica,1995,male,75+ years,2,23800,Costa Rica1995,0.682,"11,513,472,694",3672,G.I. Generation
Portugal,1998,female,15-24 years,6,761601,Portugal1998,,"123,981,736,420",12892,Generation X
Bahrain,2009,male,5-14 years,2,79180,Bahrain2009,,"22,938,218,085",20988,Generation Z
Austria,2004,female,35-54 years,107,1231774,Austria2004,,"300,904,221,505",38711,Boomers
Japan,2002,male,25-34 years,2444,9406000,Japan2002,,"4,115,116,279,070",34239,Generation X
Israel,1995,male,35-54 years,72,607200,Israel1995,0.817,"100,343,219,507",20159,Boomers
Iceland,2014,female,35-54 years,4,42655,Iceland2014,0.899,"17,304,033,021",56833,Generation X
Luxembourg,1996,female,75+ years,2,16200,Luxembourg1996,,"21,776,609,772",56169,G.I. Generation
Costa Rica,1992,female,15-24 years,5,288800,Costa Rica1992,,"8,528,593,084",3070,Generation X
Greece,2010,female,15-24 years,4,570284,Greece2010,0.867,"299,361,576,558",27886,Millenials
Bahamas,2007,female,15-24 years,0,30101,Bahamas2007,,"10,618,340,000",33710,Millenials
Saint Vincent and Grenadines,2011,female,5-14 years,0,9530,Saint Vincent and Grenadines2011,0.713,"676,129,407",6759,Generation Z
Mexico,1994,female,55-74 years,28,3420700,Mexico1994,,"527,813,238,126",6735,Silent
Trinidad and Tobago,1998,male,35-54 years,64,158330,Trinidad and Tobago1998,,"6,043,694,330",5175,Boomers
Belarus,2003,male,55-74 years,669,709699,Belarus2003,,"17,827,791,321",1892,Silent
Sri Lanka,1985,female,75+ years,23,106000,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
Kyrgyzstan,2011,female,15-24 years,47,580711,Kyrgyzstan2011,0.639,"6,197,766,119",1273,Millenials
Albania,2004,male,35-54 years,39,391767,Albania2004,,"7,314,865,176",2544,Boomers
Serbia,2003,female,35-54 years,103,1106280,Serbia2003,,"21,188,704,081",2979,Boomers
Kazakhstan,2000,female,55-74 years,147,1005027,Kazakhstan2000,0.679,"18,291,990,619",1328,Silent
Iceland,2013,male,15-24 years,5,24215,Iceland2013,0.899,"15,548,321,544",51749,Millenials
Austria,1990,female,35-54 years,150,984274,Austria1990,0.794,"166,463,386,663",23020,Silent
Guatemala,2008,male,25-34 years,92,991424,Guatemala2008,,"39,136,893,345",3252,Generation X
Japan,2013,male,55-74 years,5908,16202000,Japan2013,0.89,"5,155,717,056,271",42781,Boomers
United States,1988,male,5-14 years,181,17751000,United States1988,,"5,252,629,000,000",23103,Generation X
Russian Federation,2010,male,25-34 years,6508,11398127,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
Armenia,2016,male,35-54 years,16,350633,Armenia2016,,"10,546,135,160",3788,Generation X
Ireland,1991,female,35-54 years,23,400200,Ireland1991,,"49,847,128,533",15328,Boomers
Montenegro,2000,male,75+ years,0,8801,Montenegro2000,,"984,297,589",1701,G.I. Generation
Finland,1993,female,75+ years,13,203400,Finland1993,,"89,255,751,015",18826,G.I. Generation
Greece,1988,male,5-14 years,0,746700,Greece1988,,"76,261,278,405",8070,Generation X
Belize,2000,female,75+ years,0,1850,Belize2000,0.683,"832,072,450",3960,G.I. Generation
Ecuador,2008,female,5-14 years,22,1474229,Ecuador2008,,"61,762,635,000",4787,Generation Z
Spain,2004,male,55-74 years,659,3906640,Spain2004,,"1,069,555,500,372",26372,Silent
Greece,1993,male,75+ years,36,269414,Greece1993,,"108,809,058,859",10957,G.I. Generation
Czech Republic,1993,female,15-24 years,35,810500,Czech Republic1993,,"40,614,350,197",4186,Generation X
Canada,1990,female,55-74 years,125,2216700,Canada1990,0.849,"593,929,550,908",24041,G.I. Generation
Netherlands,2008,male,55-74 years,252,1698728,Netherlands2008,,"936,228,211,513",60375,Silent
El Salvador,1991,male,55-74 years,39,207938,El Salvador1991,,"5,252,342,400",1148,Silent
Slovakia,2010,female,55-74 years,26,585761,Slovakia2010,0.827,"89,501,012,916",17387,Silent
Trinidad and Tobago,1989,female,55-74 years,2,56000,Trinidad and Tobago1989,,"4,323,058,824",4040,G.I. Generation
Canada,2011,female,15-24 years,135,2248192,Canada2011,0.909,"1,788,647,906,048",54841,Millenials
Belgium,2003,male,75+ years,179,289022,Belgium2003,,"319,002,821,670",32538,Silent
